,delay,trial,model,direction,gap
521,0,130,GC,Independence,0.0011851394143176223
522,0,130,TE,X -> Y,0.27068079648486715
523,0,130,LZP,Independence,30.0
524,0,131,DPE,X -> Y,0.1244841900682359
525,0,131,GC,Independence,0.003063272386174153
526,0,131,TE,X -> Y,0.2790842876019701
527,0,131,LZP,Independence,23.0
528,0,132,DPE,X -> Y,0.12403379087431396
529,0,132,GC,Independence,1.5984140375437452e-06
530,0,132,TE,X -> Y,0.3307417293910157
531,0,132,LZP,Independence,20.0
532,0,133,DPE,X -> Y,0.10885960156517616
533,0,133,GC,Independence,0.03998118659282141
534,0,133,TE,X -> Y,0.28494409621825656
535,0,133,LZP,Independence,30.0
536,0,134,DPE,X -> Y,0.09736732083327099
537,0,134,GC,Independence,0.007725829562086519
538,0,134,TE,X -> Y,0.29493843463264424
539,0,134,LZP,Independence,25.0
540,0,135,DPE,X -> Y,0.1251146591226147
541,0,135,GC,Independence,4.644924771308977e-05
542,0,135,TE,X -> Y,0.34136648271854786
543,0,135,LZP,X -> Y,29.0
544,0,136,DPE,X -> Y,0.12411387560552989
545,0,136,GC,Independence,0.0005073035218612067
546,0,136,TE,X -> Y,0.2661759596973363
547,0,136,LZP,Independence,29.0
548,0,137,DPE,X -> Y,0.1255248072987154
549,0,137,GC,Independence,2.500603304125436e-05
550,0,137,TE,X -> Y,0.2615101401204077
551,0,137,LZP,Independence,29.0
552,0,138,DPE,X -> Y,0.10763324186420783
553,0,138,GC,Independence,8.954689542626981e-06
554,0,138,TE,X -> Y,0.32970816238028977
555,0,138,LZP,Independence,24.0
556,0,139,DPE,X -> Y,0.14466412114664257
557,0,139,GC,Independence,0.000439143962953353
558,0,139,TE,X -> Y,0.2959432500841365
559,0,139,LZP,Independence,28.0
560,0,140,DPE,X -> Y,0.1192756260667617
561,0,140,GC,Independence,0.00010986613006037383
562,0,140,TE,X -> Y,0.33041613278800047
563,0,140,LZP,X -> Y,25.0
564,0,141,DPE,X -> Y,0.15091583464317113
565,0,141,GC,Independence,0.00022845470864135423
566,0,141,TE,X -> Y,0.26227011265509487
567,0,141,LZP,Independence,30.0
568,0,142,DPE,X -> Y,0.129024513006549
569,0,142,GC,Independence,2.865716757111316e-06
570,0,142,TE,X -> Y,0.2884015104472764
571,0,142,LZP,Independence,25.0
572,0,143,DPE,X -> Y,0.11078507676746063
573,0,143,GC,Independence,2.1415658353714695e-07
574,0,143,TE,X -> Y,0.3151977657120548
575,0,143,LZP,X -> Y,29.0
576,0,144,DPE,X -> Y,0.14157511742669157
577,0,144,GC,Independence,2.7956073199864506e-05
578,0,144,TE,X -> Y,0.30729207835405875
579,0,144,LZP,Independence,23.0
580,0,145,DPE,X -> Y,0.13609526235211106
581,0,145,GC,Independence,2.550269212222185e-06
582,0,145,TE,X -> Y,0.30427696236340007
583,0,145,LZP,Independence,24.0
584,0,146,DPE,X -> Y,0.11498775286756782
585,0,146,GC,Independence,8.691542533173464e-06
586,0,146,TE,X -> Y,0.2982709640397687
